 District , Spring / Well / Borehole , Piped , Jabia / Rain/Harvested 
Baringo,1569,390,10
Baringo North,893,16,11
Bomet,6888,1624,305
Bondo,1019,790,152
Borabu,899,11,299
 Bungoma East,1533,10,0
Bungoma North,4768,1014,6
Bungoma South,8403,163,3
Bungoma West,9735,579,20
Bunyala,1373,1532,18
Buret,5531,3461,242
Busia,22856,508,8
Butere,15923,334,40
Chalbi,8985,15,637
East Pokot,1211,5,39
Eldoret East,4760,271,15
Eldoret West,4241,11197,13
Embu,3655,13014,186
Emuhaya,30799,860,426
Fafi,2252,128,133
Garbatulla,1780,1396,44
Garissa,1881,7990,17
Gatanga,1890,5038,147
Gatundu,2817,9623,321
Githunguri,12195,3166,135
Gucha,19354,406,218
Gucha South,10041,628,43
Hamisi,8325,798,271
Homa bay,14684,4937,269
Igembe,4196,15807,2063
Ijara,702,4,17
Imenti North,1521,13938,47
Imenti South,515,3926,7
Isiolo,2104,5600,13
Kajiado Central,6502,2050,25
Kajiado North,4563,7154,177
Kakamega Central,7959,557,138
Kakamega East,1872,277,16
Kakamega North,7433,269,8
Kakamega South,1438,0,15
Kaloleni,1871,5931,17
Kangundo,3821,334,60
Keiyo,5089,3202,37
Kericho,6070,3926,300
Kiambu East,9568,2530,96
Kiambu West,2513,7045,397
Kibwezi,572,2487,0
Kikuyu,5249,7181,172
Kilifi,5864,11452,32
Kilindini,6278,24363,28
Kinango,221,5811,6
Kipkelion,4778,2678,79
Kirinyaga,8262,14785,269
Kisii Central,12909,669,218
Kisii South,15887,12,119
Kisumu East,7818,6305,328
Kisumu West,2634,726,113
Kitui,8506,362,27
Koibatek,534,928,10
Kuria East,840,0,5
Kuria West,4260,249,27
Kwale,537,2281,17
Kwanza,5138,417,58
Kyuso,2745,430,7
Lagdera,18955,1539,302
Laikipia East,721,1081,35
Laikipia North,1025,202,89
Laikipia West,2858,227,399
Laisamis,4196,240,0
Lamu,3909,1946,50
Lari,8832,2086,300
Loitokitok,3322,1989,24
Maara,1590,3648,9
Machakos,9441,6398,147
Makueni,3515,350,95
Malindi,2411,16128,684
Mandera Central,18156,648,769
Mandera East,12325,1814,830
Mandera West,756,13,2114
Manga,2120,0,20
Marakwet,1129,1902,16
Marsabit,1564,286,17
Masaba,14038,641,428
Mbeere,5355,2361,64
Mbooni,2138,232,44
Meru Central,365,5001,18
Meru South,2252,462,4
Migori,3459,126,38
Molo,10302,3896,626
Mombasa,2817,10108,17
Moyale,4158,634,76
Msambweni,7704,4355,51
Mt. Elgon,5309,5002,12
Mumias,16439,157,14
Murang'a North,6523,8306,2715
Murang'a South,17861,6713,1612
Mutomo,3587,610,13
Mwala,559,1014,28
Mwingi,3291,854,19
Nairobi East,1377,61168,178
Nairobi North,1344,69610,158
Nairobi West,7004,14489,121
Naivasha,3589,8088,1064
Nakuru,2332,15281,202
Nakuru North,4553,3022,947
Nandi Central,7447,873,103
Nandi East,2488,2023,18
Nandi North,7016,414,34
Nandi South,4219,486,111
Narok North,2699,928,79
Narok South,5180,246,21
Nyamira,21780,492,313
Nyandarua North,7167,1886,690
Nyandarua South,5174,6558,2071
Nyando ,12703,6402,484
Nyeri North,5048,20696,1409
Nyeri South,2243,19733,2145
Nzaui,1359,2971,10
Pokot Central,674,1126,0
Pokot North,4348,75,0
Rachuonyo,8124,1082,139
Rarieda,21,411,29
Rongo,16601,149,197
Ruiru,3716,5076,106
Samburu Central,1099,72,2
Samburu East,740,173,0
Samburu North,1496,124,7
Samia,3829,555,26
Siaya,13507,1778,225
Sotik,2883,1027,264
Suba,644,2,116
Taita,659,5315,5
Tana Delta,3669,1155,1
Tana River,4012,791,0
Taveta,161,1914,0
Teso North,8785,279,17
Teso South,11864,1047,9
Tharaka,2997,1485,15
Thika East,3070,1918,58
Thika West,1394,11097,33
Tigania,3289,6652,82
Tinderet,1096,1618,4
Trans Mara,2775,1152,73
Trans Nzoia East,3256,262,6
Trans Nzoia West,3416,3868,54
Turkana Central,4409,1431,1
Turkana North,4007,50,0
Turkana South,4736,583,1
Vihiga,13656,253,193
Wajir East,12577,57,3
Wajir North,6772,15,71
Wajir South,5524,77,125
Wajir West,10663,777,375
Wareng,6010,126,4
West Pokot,1889,652,17
Westlands,1373,18182,80
Yatta,5500,211,79
