County,
Nairobi City,"-1.2920659, 36.8219462"
Kiambu,"-1.1748105, 36.8304102"
Kirinyaga,"-0.1467303, 37.3077328"
Murang'a,"-0.5406437, 37.0400339"
Nyandarua,"-0.3012262, 36.5229641"
Nyeri,"-0.416876, 36.950981"
Kilifi," -3.6333333, 39.85"
Kwale,"-4.1744444, 39.4602778"
Lamu,"-2.2695575, 40.9006408"
Mombasa,"-4.0434771, 39.6682065"
Taita/Taveta," -3.3160687, 38.4849923"
Tana River,"-1.2770957, 39.2078876"
Embu,"-23.649158, -46.8526301"
Isiolo," 0.355636, 37.5833061"
Kitui," -1.3750813, 37.9952144"
Machakos,"-1.5176837, 37.2634146"
Makueni," -2.1545005, 37.7736693"
Marsabit,"2.3333333, 37.9833333"
Meru,"0.0514721, 37.6456042"
Tharaka-Nthi,
Garissa,"-0.4532293, 39.6460988"
Mandera,"3.9356389, 41.8551162"
Wajir,"1.7488388, 40.058633"
Homabay,"39.27043, -76.520084"
Kisii," -0.678306, 34.771966"
Kisumu,"-0.0917016, 34.7679568"
Migori,"-1.066574, 34.471202"
Nyamira,"-0.6798299, 34.9506625"
Siaya,"0.0626293, 34.2878084"
Baringo," 47.7731614, -121.485382"
Elgeyo/Marakwet,"-1.296093, 36.7793146"
Kajiado,"-1.8420731, 36.7918599"
Kericho,"-0.366062, 35.281799"
Laikipia,"0.3771387, 36.7884431"
Nakuru,"-0.3030988, 36.080026"
Nandi,"-27.2195957, 151.1721014"
Narok," -1.0833333, 35.8666667"
Samburu,"-3.778638, 39.2789"
Trans Nzoia,"1.0566667, 34.9506625"
Turkana,"3.6268222, 36.0023225"
Uasin Gishu," 0.5527638, 35.3027226"
West Pokot," 1.5924438, 35.2853616"
Bungoma,"0.569369, 34.561138"
Busia," 0.4607691, 34.1114621"
Kakamega,"0.2827307, 34.7518631"
Vihiga,"0.06134, 34.7740793"
