county,latitudes,longitudes,noofhouseholdswithMainSewer
Baringo,0.512912,35.952537,296
Bomet,-0.690131,35.278005,565
Bungoma,0.737046,34.672536,1936
Busia,0.428414,34.210571,545
Elgeyo Marakwet,0.806011,35.564093,295
Embu,-0.5982,37.653906,3264
Garissa,-0.564679,40.408457,1121
Homa Bay,-0.640985,34.411083,1869
Isiolo,0.949302,38.614718,1557
Kajiado,-2.221971,36.980268,2407
Kakamega,0.308499,34.654844,5272
Kericho,-0.297842,35.319833,2695
Kiambu,-1.060698,36.79929,31288
Kilifi,-3.279972,39.63501,3234
Kirinyaga,-0.517766,37.302006,1222
Kisii,-0.782524,34.766895,1640
Kisumu,-0.167225,34.953647,10933
Kitui,-1.519146,38.376101,433
Kwale ,-4.242667,39.174233,614
Laikipia,0.311627,36.814178,10324
Lamu,-2.03752,40.688214,75
Machakos,-1.327138,37.352277,11666
Makueni,-2.211917,37.865047,1032
Mandera,3.46712,40.704671,122
Marsabit,2.772167,37.76822,22
Meru,0.159398,37.750761,2306
Migori,-1.008592,34.42681,861
Mombasa,-3.998813,39.632129,37225
Murang'a,-0.804314,37.035566,3967
Nairobi,-1.296975,36.844534,469830
Nakuru,-0.385212,36.036261,32864
Nandi,0.143371,35.156125,599
Narok,-1.227452,35.686784,755
Nyamira,-0.644917,34.955612,72
Nyandarua,-0.374727,36.494076,346
Nyeri,-0.407168,36.965186,9633
Samburu,1.183862,37.184377,94
Siaya,-0.0617328,34.2421597,396
Taita Taveta,-3.551502,38.376101,953
Tana River,-1.584971,39.536272,132
Tharaka Nithi,-0.227324,37.882411,19
Trans Nzoia,1.030597,34.949297,2802
Turkana,3.318344,35.401457,192
Uasin Gishu,0.555288,35.306307,16411
Vihiga,0.06134,34.7740793,374
Wajir,1.895541,40.07933,151
West Pokot,1.575837,35.316901,132
