district,typhoid,latitude,longitude
Nairobi,0.010098992,-1.2920659,36.8219462
Kiambu,0.014360405,-1.1748105,36.8304102
Kirinyaga,0.009339868,-0.1467303,37.3077328
Muranga,0.012157843,-0.5406437,37.0400339
Nyandarua,0.014458369,-0.3012262,36.5229641
Nyeri,0.009086997,-0.416876,36.950981
Thika,0.0001,-1.0387569,37.0833753
Maragua,0.005162098,-0.794421,37.13122
Kilifi,0.026357964,-3.6333333,39.85
Kwale,0.011531828,-4.1744444,39.4602778
Lamu,0.014108926,-2.2695575,40.9006408
Mombasa,0.00415532,-4.0434771,39.6682065
Taita Taveta,0.016121094,-3.3160687,38.4849923
Tana River,0.004529265,-1.2770957,39.2078876
Malindi,0.0001,-3.2191864,40.1168906
Embu,0.008661868,-0.5388381,37.4596409
Isiolo,0.012339653,0.355636,37.5833061
Kitui,0.0001,-1.3750813,37.9952144
Makueni,0.012166393,-2.1545005,37.7736693
Machakos,0.003924774,-1.5176837,37.2634146
Marsabit,0.017748893,2.3333333,37.9833333
Mbeere,0.010509764,-0.5796816,37.776574
Meru Central,0.016513362,0.1181133,37.8087693
Moyale,0.021196068,1.7549209,40.0306338
Mwingi,0.0001,-0.937411,38.0605006
Nyambene,0.018212024,0.2327721,37.876739
Tharaka,0.033555237,-0.3,38.016667
Meru South,0.0001,0.0514721,37.6456042
Garissa,0.013797438,-0.4532293,39.6460988
Mandera,0.003580672,3.9399745,41.8629366
Wajir,0.011612291,1.7488388,40.058633
Gucha,0.028513653,-0.7832568,34.7630307
Homa Bay,0.0141662,-0.6842024,34.4198243
Kisii,0.001217458,-0.8067026,34.7740793
Kisumu,0.023395332,-0.0917016,34.7679568
Kuria,0.0001,-1.22079,34.5528387
Migori,0.001027229,-1.063724,34.477072
Nyamira,0.006087028,-0.6798299,34.9506625
Rachuonyo,0.019037227,-0.4275946,34.6889341
Siaya,0.0001,-0.0617328,34.2421597
Suba,0.001271327,-1.1725353,34.4447798
Bondo,0.000922979,-0.09978,34.274444
Nyando,0.000533047,-0.3130256,34.9376714
Baringo,0.006007069,-0.326909,36.064764
Bomet,0.012295231,-0.7863346,35.3364623
Keiyo,0.00063625,1.2263867,36.2630846
Kajiado,0.005369067,-1.7833007,36.6957216
Kericho,0.0001,-0.366062,35.281799
Koibatek,0.014251022,0.101248,36.0345769
Laikipia,0.021179583,0.3771387,36.7884431
Nandi,0.008990041,0.2029033,35.1068759
Narok,0.006817871,-1.1089868,35.7406882
Samburu,0.017504586,1.2154506,36.954107
Trans Mara,0.065123242,-0.6666667,35.5333333
Trans Nzoia,0.020466671,1.0566667,34.9506625
Turkana,0.014765226,3.0398871,35.6207049
Uasin Gishu,0.0001,0.5527638,35.3027226
West Pokot,0.002374944,1.5924438,35.2853616
Buret,0.007183265,-0.582624,35.1901151
Bungoma,0.003104893,0.8084283,34.597132
Busia,0.039291376,0.4036225,34.1976882
Mt. Elgon,0.011862616,1.063462,34.4198243
Kakamega,0.0001,0.307894,34.7740793
Lugari,0.015206942,0.6511579,34.8762111
Teso,0.012864232,0.6197525,34.3452623
Vihiga,0.004796887,0.06134,34.7740793
Butere/Mumias,0.003381642,0.2166667,34.5
